-5.0,0.6,4.78,4.24,3.15,0.35,8.62
-5.0,0.6,4.78,4.24,3.15,0.375,12.49
-5.0,0.6,4.78,4.24,3.15,0.4,20.41
-5.0,0.6,4.78,4.24,3.15,0.425,32.46
-5.0,0.6,4.78,4.24,3.15,0.45,50.94
0.0,0.53,4.78,3.75,3.15,0.125,0.16
0.0,0.53,4.78,3.75,3.15,0.15,0.32
0.0,0.53,4.78,3.75,3.15,0.175,0.59
0.0,0.53,4.78,3.75,3.15,0.2,0.92
0.0,0.53,4.78,3.75,3.15,0.225,1.37
0.0,0.53,4.78,3.75,3.15,0.25,1.94
0.0,0.53,4.78,3.75,3.15,0.275,2.62
0.0,0.53,4.78,3.75,3.15,0.3,3.7
0.0,0.53,4.78,3.75,3.15,0.325,5.45
0.0,0.53,4.78,3.75,3.15,0.35,9.45
0.0,0.53,4.78,3.75,3.15,0.375,16.31
0.0,0.53,4.78,3.75,3.15,0.4,27.34
0.0,0.53,4.78,3.75,3.15,0.425,41.77
0.0,0.53,4.78,3.75,3.15,0.45,60.85
-5.0,0.53,4.78,3.75,3.15,0.125,0.09
-5.0,0.53,4.78,3.75,3.15,0.15,0.24
-5.0,0.53,4.78,3.75,3.15,0.175,0.47
-5.0,0.53,4.78,3.75,3.15,0.2,0.78
-5.0,0.53,4.78,3.75,3.15,0.225,1.21
-5.0,0.53,4.78,3.75,3.15,0.25,1.85
-5.0,0.53,4.78,3.75,3.15,0.275,2.62
-5.0,0.53,4.78,3.75,3.15,0.3,3.69
-5.0,0.53,4.78,3.75,3.15,0.325,5.07
-5.0,0.53,4.78,3.75,3.15,0.35,7.95
-5.0,0.53,4.78,3.75,3.15,0.375,13.73
-5.0,0.53,4.78,3.75,3.15,0.4,23.55
-5.0,0.53,4.78,3.75,3.15,0.425,37.14
-5.0,0.53,4.78,3.75,3.15,0.45,55.87
-2.3,0.6,5.1,4.17,3.51,0.125,0.01
-2.3,0.6,5.1,4.17,3.51,0.15,0.16
-2.3,0.6,5.1,4.17,3.51,0.175,0.39
-2.3,0.6,5.1,4.17,3.51,0.2,0.73
-2.3,0.6,5.1,4.17,3.51,0.225,1.24
-2.3,0.6,5.1,4.17,3.51,0.25,1.96
-2.3,0.6,5.1,4.17,3.51,0.275,3.04
-2.3,0.6,5.1,4.17,3.51,0.3,4.46
-2.3,0.6,5.1,4.17,3.51,0.325,6.31
-2.3,0.6,5.1,4.17,3.51,0.35,8.68
-2.3,0.6,5.1,4.17,3.51,0.375,12.39
-2.3,0.6,5.1,4.17,3.51,0.4,20.14
-2.3,0.6,5.1,4.17,3.51,0.425,31.77
-2.3,0.6,5.1,4.17,3.51,0.45,47.13
-2.3,0.6,4.34,4.23,2.73,0.125,0.04
-2.3,0.6,4.34,4.23,2.73,0.15,0.17
-2.3,0.6,4.34,4.23,2.73,0.175,0.36
-2.3,0.6,4.34,4.23,2.73,0.2,0.64
-2.3,0.6,4.34,4.23,2.73,0.225,1.02
-2.3,0.6,4.34,4.23,2.73,0.25,1.62
-2.3,0.6,4.34,4.23,2.73,0.275,2.63
-2.3,0.6,4.34,4.23,2.73,0.3,4.15
-2.3,0.6,4.34,4.23,2.73,0.325,6.0
-2.3,0.6,4.34,4.23,2.73,0.35,8.47
-2.3,0.6,4.34,4.23,2.73,0.375,12.27
-2.3,0.6,4.34,4.23,2.73,0.4,19.59
-2.3,0.6,4.34,4.23,2.73,0.425,30.48
-2.3,0.6,4.34,4.23,2.73,0.45,46.66
