8.1, 0.28, 0.4, 6.9, 0.05, 30.0, 97.0, 0.9951, 3.26, 0.44, 10.1, 6
7.2, 0.23, 0.32, 8.5, 0.058, 47.0, 186.0, 0.9956, 3.19, 0.4, 9.9, 6
7.4, 0.34, 0.42, 1.1, 0.033, 17.0, 171.0, 0.9917, 3.12, 0.53, 11.3, 6
5.8, 0.27, 0.2, 14.95, 0.044, 22.0, 179.0, 0.9962, 3.37, 0.37, 10.2, 5
6.6, 0.24, 0.27, 1.4, 0.057, 33.0, 152.0, 0.9934, 3.22, 0.56, 9.5, 6
6.2, 0.45, 0.26, 4.4, 0.063, 63.0, 206.0, 0.994, 3.27, 0.52, 9.8, 4
7.2, 0.19, 0.31, 1.6, 0.062, 31.0, 173.0, 0.9917, 3.35, 0.44, 11.7, 6
6.9, 0.25, 0.35, 1.3, 0.039, 29.0, 191.0, 0.9908, 3.13, 0.52, 11.0, 6
7.0, 0.47, 0.07, 1.1, 0.035, 17.0, 151.0, 0.991, 3.02, 0.34, 10.5, 5
7.2, 0.24, 0.27, 1.4, 0.038, 31.0, 122.0, 0.9927, 3.15, 0.46, 10.3, 6
6.7, 0.25, 0.13, 1.2, 0.041, 81.0, 174.0, 0.992, 3.14, 0.42, 9.8, 5
6.7, 0.23, 0.31, 2.1, 0.046, 30.0, 96.0, 0.9926, 3.33, 0.64, 10.7, 8
7.0, 0.32, 0.34, 1.3, 0.042, 20.0, 69.0, 0.9912, 3.31, 0.65, 12.0, 7
6.7, 0.54, 0.28, 5.4, 0.06, 21.0, 105.0, 0.9949, 3.27, 0.37, 9.0, 5
6.8, 0.22, 0.31, 1.4, 0.053, 34.0, 114.0, 0.9929, 3.39, 0.77, 10.6, 6
7.1, 0.34, 0.2, 6.1, 0.063, 47.0, 164.0, 0.9946, 3.17, 0.42, 10.0, 5
7.1, 0.43, 0.61, 11.8, 0.045, 54.0, 155.0, 0.9974, 3.11, 0.45, 8.7, 5
7.5, 0.17, 0.32, 1.7, 0.04, 51.0, 148.0, 0.9916, 3.21, 0.44, 11.5, 7
7.1, 0.26, 0.29, 12.4, 0.044, 62.0, 240.0, 0.9969, 3.04, 0.42, 9.2, 6
6.0, 0.34, 0.66, 15.9, 0.046, 26.0, 164.0, 0.9979, 3.14, 0.5, 8.8, 6
7.1, 0.12, 0.32, 9.6, 0.054, 64.0, 162.0, 0.9962, 3.4, 0.41, 9.4, 5
7.2, 0.31, 0.5, 13.3, 0.056, 68.0, 195.0, 0.9982, 3.01, 0.47, 9.2, 5
6.7, 0.41, 0.34, 9.2, 0.049, 29.0, 150.0, 0.9968, 3.22, 0.51, 9.1, 5
7.9, 0.21, 0.4, 1.2, 0.039, 38.0, 107.0, 0.992, 3.21, 0.54, 10.8, 6
6.3, 0.255, 0.37, 1.1, 0.04, 37.0, 114.0, 0.9905, 3.0, 0.39, 10.9, 6
7.4, 0.24, 0.42, 14.0, 0.066, 48.0, 198.0, 0.9979, 2.89, 0.42, 8.9, 6
7.5, 0.27, 0.31, 17.7, 0.051, 33.0, 173.0, 0.999, 3.09, 0.64, 10.2, 5
5.9, 0.23, 0.3, 12.9, 0.054, 57.0, 170.0, 0.9972, 3.28, 0.39, 9.4, 5
7.1, 0.34, 0.15, 1.2, 0.053, 61.0, 183.0, 0.9936, 3.09, 0.43, 9.2, 5
6.8, 0.26, 0.56, 11.9, 0.043, 64.0, 226.0, 0.997, 3.02, 0.63, 9.3, 5
5.9, 0.3, 0.23, 4.2, 0.038, 42.0, 119.0, 0.9924, 3.15, 0.5, 11.0, 5
6.5, 0.28, 0.28, 8.5, 0.047, 54.0, 210.0, 0.9962, 3.09, 0.54, 8.9, 4
6.8, 0.28, 0.4, 22.0, 0.048, 48.0, 167.0, 1.001, 2.93, 0.5, 8.7, 5
6.6, 0.15, 0.34, 5.1, 0.055, 34.0, 125.0, 0.9942, 3.36, 0.42, 9.6, 5
6.4, 0.29, 0.44, 3.6, 0.2, 75.0, 181.0, 0.9942, 3.02, 0.41, 9.1, 5
6.4, 0.3, 0.45, 3.5, 0.197, 76.0, 180.0, 0.9942, 3.02, 0.39, 9.1, 6
6.8, 0.26, 0.24, 7.8, 0.052, 54.0, 214.0, 0.9961, 3.13, 0.47, 8.9, 5
7.1, 0.32, 0.24, 13.1, 0.05, 52.0, 204.0, 0.998, 3.1, 0.49, 8.8, 5
6.1, 0.4, 0.31, 0.9, 0.048, 23.0, 170.0, 0.993, 3.22, 0.77, 9.5, 6
7.5, 0.23, 0.36, 7.0, 0.036, 43.0, 161.0, 0.9938, 3.04, 0.32, 11.0, 5
6.5, 0.19, 0.3, 0.8, 0.043, 33.0, 144.0, 0.9936, 3.42, 0.39, 9.1, 6
8.2, 0.27, 0.39, 7.8, 0.039, 49.0, 208.0, 0.9976, 3.31, 0.51, 9.5, 6
7.2, 0.23, 0.38, 14.3, 0.058, 55.0, 194.0, 0.9979, 3.09, 0.44, 9.0, 6
6.8, 0.52, 0.32, 13.2, 0.044, 54.0, 221.0, 0.9972, 3.27, 0.5, 9.6, 6
6.1, 0.18, 0.36, 2.0, 0.038, 20.0, 249.5, 0.9923, 3.37, 0.79, 11.3, 6
5.8, 0.36, 0.38, 0.9, 0.037, 3.0, 75.0, 0.9904, 3.28, 0.34, 11.4, 4
6.9, 0.29, 0.4, 19.45, 0.043, 36.0, 156.0, 0.9996, 2.93, 0.47, 8.9, 5
5.4, 0.59, 0.07, 7.0, 0.045, 36.0, 147.0, 0.9944, 3.34, 0.57, 9.7, 6
6.9, 0.32, 0.26, 8.3, 0.053, 32.0, 180.0, 0.9965, 3.25, 0.51, 9.2, 6
6.6, 0.58, 0.3, 5.1, 0.057, 30.0, 123.0, 0.9949, 3.24, 0.38, 9.0, 5
6.1, 0.31, 0.58, 5.0, 0.039, 36.0, 114.0, 0.9909, 3.3, 0.6, 12.3, 8
6.5, 0.28, 0.33, 15.7, 0.053, 51.0, 190.0, 0.9978, 3.22, 0.51, 9.7, 6
7.2, 0.23, 0.39, 14.2, 0.058, 49.0, 192.0, 0.9979, 2.98, 0.48, 9.0, 7
6.7, 0.17, 0.5, 2.1, 0.043, 27.0, 122.0, 0.9923, 3.15, 0.45, 10.3, 6
6.1, 0.36, 0.27, 2.1, 0.035, 16.0, 100.0, 0.9917, 3.4, 0.71, 11.5, 7
